Time_days,Parameter,S1,pval
2,k2,2.1756807560831448e-10,0.004284959151045209
2,muM2Ck1,1.8670689161357245e-10,0.01305234209626116
2,k10,1.1692819639581626e-10,0.01876073167775505
4,gammaCR,0.6447007373980652,0.0
4,CRmax,0.16457932096802494,0.0019465071067146233
4,gammaC,0.14121599382011593,2.909528495909086e-08
4,mC,0.13002971362326798,0.047758425592981824
4,gammaS,0.1182013844233653,0.0011889625933798609
4,deltaC,0.09512238491081368,0.0
4,p1,0.07314024814326951,0.0020694305290037684
4,p2,0.012010848852631666,0.016119064669777083
4,Cmax,0.008938236143415637,0.0
4,r2,0.0020582254285709564,1.3195000647669985e-12
4,deltaCk2,0.0005562208602466645,0.00046240794247043304
4,k4,0.00028744933574106153,1.7321891698784952e-09
4,muC2,0.0002318919867671741,0.011715636022000764
4,k6,0.00013329781082566862,0.008824368652949444
4,deltaCk1,0.00010844766310811958,2.665016246461427e-06
4,deltaTc,9.999340244001725e-05,0.0011122581720746094
4,r1,5.909562255836596e-05,1.8010800813428318e-05
4,deltaCk3,5.603318373636181e-05,0.0009337174893658817
4,deltaTh1,5.516267477204266e-05,0.0015016541382061321
4,lambdaTh1,4.172960839713094e-05,9.461350495099108e-05
4,betaTh1CK2,4.0504696685132575e-05,0.014661036990181509
4,deltaM1,3.607660560377776e-05,0.003847514453861778
4,gammaTh1,3.41497607259383e-05,0.0011844060731061035
4,deltaCR,3.1195769196458734e-05,1.965094753586527e-14
4,muS,3.111007395805027e-05,1.2178416530783664e-07
4,lambdaTc4,2.8249204754096246e-05,8.479103452696535e-08
4,gammaTc,2.7903122869234322e-05,0.020746022607947334
4,muC1,9.456210739416408e-06,0.007515814575543844
4,betaTh1CK3,8.403445937872169e-06,0.02631470922944834
4,muTh1Ck3,7.2444116447655026e-06,0.005031298454717836
4,k3,6.502336102842766e-06,5.879486675297585e-09
4,k1,5.612610790608445e-06,0.008564117232055524
4,betaTc,5.551827279536635e-06,0.04097005313079938
4,lambdaTh2,4.351827467864081e-06,0.007214288728311979
4,mS,1.8944705081084907e-06,0.004277081201872868
4,gammaTh2,1.255494966730012e-06,0.0032015137410031924
4,k5,1.212530490835619e-06,4.101850286974962e-05
4,tck,9.051299485017556e-08,6.55291938145286e-06
4,ktc3,5.836052478891411e-08,0.0005678212542534755
4,ktc1,4.53183543806415e-08,4.826139488045555e-13
4,lambdaTc1,3.8121099578627056e-08,1.8388977792827e-05
4,deltaM2,2.694715642862442e-08,0.002265481982591133
4,betaTreg,1.2047668050203418e-08,0.0007139624038172698
4,deltaS,4.692957465205806e-09,0.0010734663712139714
