Time_days,Parameter,S1,pval
100,gammaTreg,0.3496626284820373,0.009636472911093263
100,k8,0.3206643218780492,0.03218516322923193
100,r1,0.3189947091399482,0.02457173272141855
100,betaTh1CK2,0.31447762148986,0.005462799604773472
100,muTcTreg,0.3008314219717844,0.0310119862539896
100,deltaS,0.27408148018872286,0.04799242639218382
100,ktc2,0.2732745900820575,0.048558603061548467
100,deltaM2,0.13237111404569107,5.839092083181896e-06
100,muTregCk1,0.06208448898144246,0.01844456423309293
600,p2,0.9999996997425938,0.0
600,muSR,0.9998963253084906,0.0
600,betaTh2,0.9994276002735208,0.0
600,gammaS,0.9993766320674805,0.0
600,gammaCR,0.9990609415022924,0.0
600,tck,0.9839027561740874,0.0
600,gammaTh1,0.9609997045069099,0.0
600,betaTh1CK2,0.9609792508997131,0.0
600,k9,0.931514272703378,0.0
600,k1,0.9233861731009844,0.0
600,muC2,0.9146287597716587,0.0
600,deltaM1,0.8913296808146342,0.0
600,k2,0.8584768528036072,6.550315845288424e-14
600,p1,0.854629855914052,1.3039569424222464e-12
600,muTh1Ck3,0.814064416127052,4.5810220650199796e-07
600,k6,0.8114062113332402,6.818122857410458e-07
600,lambdaTc4,0.8054135920441157,5.997424779025096e-12
600,gammaM2,0.8051962608194275,1.7936268607021688e-06
600,mS,0.8032410482204142,2.393636965081214e-06
600,deltaTh2,0.8017883935178848,2.880095861690357e-06
600,lambdaM1,0.8017140148145515,2.904687616100965e-06
600,gammaTc,0.8015756673739005,2.45818587707447e-10
600,deltaCk3,0.8002208205795881,3.5575364023543443e-06
600,deltaTreg,0.8000854828433173,3.621613938298296e-06
600,gammaM1,0.796634488507551,6.527867135730503e-11
600,muS,0.7746225160518319,5.378364420494108e-12
600,gammaTh2,0.7715574587019983,2.0649643106551707e-09
600,mC,0.7623006214070084,4.791847360463564e-06
600,ktc4,0.7569794719720401,1.709934975835381e-07
600,CRmax,0.7397901473789444,4.690781757465956e-07
600,k5,0.737646765097466,9.51089434031438e-06
600,k7,0.7357040195587622,7.788665484897983e-06
600,betaTreg,0.7337252237643973,9.943926556732485e-06
600,lambdaTh2,0.7320053028226103,1.2186634556488052e-05
600,k10,0.7318930096051793,1.2277867800003506e-05
600,betaTh1CK3,0.7315624082138698,1.2826385683339936e-05
600,deltaTc,0.719096755840708,7.217331825515316e-07
600,deltaTh1,0.7012471426293588,1.3778346438231281e-06
600,deltaM2,0.6970089144444704,1.347686428521122e-05
600,betaTc,0.6941120630669954,5.4884202776994684e-05
600,deltaC,0.6620230925909969,0.00022915136323786722
600,gammaTreg,0.6561077060195204,0.000318363474649086
600,deltaCk1,0.6446347764439274,3.842109290885798e-05
600,deltaCk2,0.6320317594143613,3.068201854139474e-06
600,muC1,0.6072758092721774,0.002344612240301358
600,ktc1,0.6023516419405485,0.002800310643035653
600,muM1Ck2,0.6021118997752661,0.002820701698292072
600,k4,0.6015299923317297,0.002880650317522826
600,lambdaTreg2,0.6011251896484774,0.00295899495546903
600,lambdaTh1,0.6003741319552197,0.003045104888441008
600,deltaCR,0.6001299016915154,0.0030261001286511213
600,r1,0.5996884570181862,0.0030729600399452828
600,lambdaTc1,0.587346467811632,0.00045154136225356023
600,ktc3,0.5869499172770625,0.00045479102128109794
600,muM2Ck1,0.5412791605829673,0.003072616681314533
600,Cmax,0.5410009515724021,0.0027969568403900524
600,k3,0.540574917283638,0.0030239862703460574
600,gammaC,0.5317530430685692,0.0038582095851493747
600,muTcS,0.4558481362472967,0.012564956318798948
600,deltaS,0.40055544130003995,0.033627273070503505
600,lambdaM2,0.40006597957094164,0.03366446097993758
600,k8,0.39970814048065473,0.033868957872976724
600,r2,0.3996994602415343,0.03337190462291617
600,muTh1Ck1,0.39958381943648374,0.03394022642360228
600,ktc2,0.3100480404861016,0.028200767841813468
600,k11,0.00019630952025383365,0.049795262681957664
