Time_days,Parameter,S1,pval
6,gammaS,0.31013685523658363,9.239387867454596e-05
6,p2,0.13668182048174218,0.0018480743305073766
6,k1,0.001695040201524919,0.002166859133561738
6,muS,0.000347812352068787,0.03856950133659587
6,deltaCk2,0.00026650863245671557,2.502489326872137e-10
6,deltaTh1,8.334852534477247e-05,0.001070653875640204
6,betaTh1CK2,6.801800902464966e-05,0.005724981503833271
6,gammaTh1,3.479870389661941e-05,0.0004114487443943604
6,deltaM1,1.815581484067278e-05,0.049388614836194944
6,deltaTc,8.016069000925693e-06,0.006501969992481427
6,lambdaTh1,7.234936313382148e-06,0.014703398688642455
6,tck,2.72866102529239e-06,0.00601787502186335
6,muTh1Ck3,1.6175971691830207e-06,2.5485063281927012e-08
6,betaTc,1.2729910676818569e-06,0.026909205098372357
6,deltaCk3,1.1549399789092252e-06,0.00015082077377326364
6,ktc1,8.2216367396833e-07,0.04446158141464951
6,mS,7.330707698300013e-07,0.02050360714052768
6,deltaS,4.2402322864417387e-07,0.0
6,gammaTc,3.8720969488534524e-07,6.064671531635923e-08
6,k9,2.2323622926163433e-07,0.013516995672181897
6,lambdaTc4,2.1988476456872283e-07,0.007445682980295243
6,betaTh1CK3,6.891932503165784e-08,0.0038277933092147887
6,deltaTh2,5.8588219220732354e-08,0.0002951477472276087
6,k7,3.47251915350568e-08,0.004314314140468234
6,gammaCR,2.992443217648049e-08,0.0005875680816277429
6,lambdaTh2,2.0755048101370794e-08,0.006942121571320237
6,deltaCk1,1.725900103832989e-08,7.200626037651148e-05
6,deltaM2,1.177673648349576e-08,0.0002927182237071335
6,gammaTh2,1.0749987700210825e-08,0.0035500588686678825
6,mC,7.834139844829104e-09,0.03188804860177241
6,CRmax,5.286779778783793e-09,0.00026427793067029803
6,Cmax,2.5709679586312616e-09,0.0001075808020868374
6,r1,1.714886686238928e-10,0.020921448529410247
6,k4,1.01051537338912e-10,0.04624263976447607
10,p1,0.6895005653315448,0.0032671548178058174
10,gammaS,0.4327763681691721,0.00018249048149587832
10,deltaCk3,0.3094300211712963,0.012022086637611396
10,gammaM2,0.23461574049245906,0.013879428657317394
10,k2,0.2253465161446162,0.04466020355655953
10,gammaTreg,0.2111306769754633,0.007399618091544435
10,ktc2,0.18640875240685892,0.04664575348679645
10,lambdaTh1,0.18073947329190743,0.014933889600293293
10,p2,0.176398081818409,7.747747503461522e-05
10,mS,0.1689149784495867,0.02078506054611018
10,muTregCk1,0.15297816981269594,0.03550436327105744
10,k7,0.14815170828968421,0.04188086993437201
10,lambdaTc4,0.14547903968607048,0.04586044285636004
10,betaTh2,0.12814206522425292,0.04719317413999402
10,deltaCk1,0.1137740763479551,0.0017446065189340443
10,lambdaTc2,0.0957433855665938,0.04075656168753339
10,deltaCR,0.09222684049870811,0.03862817806049512
10,lambdaTc1,0.08749883200090815,0.04496622447514709
10,deltaTh1,0.07555672356399881,0.03197262677078083
10,deltaS,0.06416139568240305,0.020227973444782887
