,time,S,SR,C,CR,M1,M2,TH1,TH2,TC,Treg,IL10,IFNgamma,IL2
0,0.0,1.0,0.0,0.0,0.0,85000.0,15000.0,71000.0,12000.0,56000.0,8000.0,0.0085,0.12,0.0094
1,0.8008008008008008,1.0873512092540614,4.440804947585577e-08,0.10084533707948444,0.00012282377271638378,37585.50421496457,14415.756298706354,27654.250506212175,3017.8717597244813,1121.8394927678444,3593.023004175514,1.8770156206462043e-07,0.0014614822751502124,4.678584816066711e-05
2,1.6016016016016017,1.1827253348165012,9.660664516638806e-08,0.7189639186061635,0.004104187728498829,16606.97103525233,13849.953035490978,7937.723906618453,760.0415201660273,18.390303114676435,1613.7045683376052,5.075226287127683e-08,0.00018307888280373047,1.1321344947523547e-05
3,2.4024024024024024,1.286472437575638,1.5762146358174714e-07,3.8028478940033694,0.07304047924459113,7337.584277703927,13306.356318400785,1904.6886054689244,190.24554666075014,0.2743702526200076,724.7401025841052,1.4419960356926404e-08,4.428211511927706e-05,2.787669982703043e-06
4,3.2032032032032034,1.3993215289995768,2.2859745762957948e-07,16.82146192675981,0.9194368944869201,3242.011048346872,12784.095754698306,415.74141565818513,47.247670144368094,0.00398723965748994,325.48801902314733,4.358839803625312e-09,9.88509593234903e-06,6.167956021626127e-07
5,4.004004004004004,1.5220700930358861,3.108126723493774e-07,64.2078481281182,8.865865478683846,1432.4373746321144,12282.33624321967,86.82488800647748,11.64010227924529,5.762388813219641e-05,146.17812563149735,1.426487467539983e-09,2.087614053070635e-06,1.296260335129724e-07
6,4.804804804804805,1.655586257774932,4.0569274567923687e-07,215.12567899303374,68.07392313222003,632.9028542597005,11800.280996803458,17.77821152479912,2.845314576864321,8.352796305444209e-07,65.6484805398375,5.087154939788353e-10,4.296342851092112e-07,2.6616965407235258e-08
7,5.605605605605606,1.800814496414246,5.148269629822187e-07,641.114386935452,427.309357957864,279.64015587083253,11337.184566300142,3.6085610861833244,0.6902744979300436,1.2173424741325317e-08,29.482347387519972,1.9613483762238126e-10,8.740342338155955e-08,5.409372736839013e-09
8,6.406406406406407,1.958782179323517,6.399859871512447e-07,1719.137488128499,2239.712413098099,123.55660214348305,10892.401812120355,0.7296274321070946,0.16624833689461424,1.7916573030307088e-10,13.240204891270876,8.038818692483496e-11,1.76901549959975e-08,1.094344300496754e-09
9,7.207207207207207,2.1306068090267956,7.83141445676032e-07,4190.576426407084,9982.2738105321,54.59420759823099,10465.5522838127,0.1472741208351615,0.039761410283316846,1.5122842360050416e-12,5.945971262070814,3.444357170675363e-11,3.5723161112959403e-09,2.2094559779401313e-10
10,8.008008008008009,2.3175039180081196,9.464875614828961e-07,9372.058936977272,38444.57124904574,24.125446219130392,10057.00767414809,0.02970464600564363,0.0094462753577579,-2.494114857070103e-12,2.6702169738350254,1.5271928203571062e-11,7.206645001477986e-10,4.456872160580019e-11
11,8.80880880880881,2.520795665973002,1.1324650333818158e-06,19391.520198777864,129792.2471961029,10.66485166408222,9669.155994004022,0.005989346442525699,0.0022299151813709173,-3.606962320290417e-12,1.1991297164072123,7.007707001194026e-12,1.4532016417345195e-10,8.986817961527511e-12
12,9.60960960960961,2.7419201927719574,1.3437873935922152e-06,37399.9019520155,389112.9062133558,4.7191461822061616,9309.270255905356,0.0012074741374468953,0.0005232544051805077,2.4662600761989685e-11,0.5384953569316466,3.3723103016123418e-12,2.929819997247722e-11,1.8118135328778954e-12
13,10.41041041041041,2.9824417920997233,1.583470092940579e-06,67695.63680687788,1048001.049872339,2.093545502171555,8995.275010670444,0.00024342860590462507,0.00012212119187478344,7.0704169538658e-10,0.24182127761726377,1.75223072419282e-12,5.906661864570905e-12,3.6526773563894896e-13
