time,S,SR,C,CR,M1,M2,TH1,TH2,TC,Treg,IL10,IFNgamma,IL2,color,phase
0.0,1.0,0.0,0.0,0.0,85000.0,15000.0,71000.0,12000.0,56000.0,8000.0,0.0085,0.12,0.0094,black,Phase 1: No treatment
0.2000500125031258,2.2247314751096794,0.0,0.3065039955393763,0.0,75273.23737489383,20697.44918370007,68904.51484828026,11461.219519530927,60061.46235739506,8079.681076225813,936.0451118318795,343.7105600284538,1807.139037426229,black,Phase 1: No treatment
0.4001000250062516,4.70921289870697,0.0,1.134296819815579,0.0,64542.05285788174,24771.30896319081,66867.78283410642,10945.928300510835,64417.53433781038,8160.907860157797,2011.9574589056306,688.2987502725032,3529.0160111841665,black,Phase 1: No treatment
0.6001500375093773,9.570215154908794,0.0,3.0616633675623586,0.0,54781.39637814837,27598.85543568512,64891.14936816384,10453.762544465695,69089.54002602429,8242.976120835363,3164.6406532868145,1034.5483675149324,5173.790937612419,black,Phase 1: No treatment
0.8002000500125032,18.773753343488913,0.0,7.170165552456841,0.0,46332.57683710562,29454.90218687203,62972.908919496076,9983.709501200172,74100.39248748738,8325.879073048498,4347.12369935044,1381.644149300725,6749.419223925989,black,Phase 1: No treatment
1.000250062515629,35.67812956655037,0.0,15.401630661688104,0.0,39132.57769269743,30545.442586069817,61111.3561034873,9534.783471232811,79474.6670449658,8409.620459438715,5524.224392097383,1728.8017578275478,8263.681756203008,black,Phase 1: No treatment
1.2003000750187547,65.85859975100574,0.0,31.12024050362201,0.0,33031.837194334425,31032.17655604618,59304.823722537374,9106.038325988568,85238.72150623522,8494.206696439218,6669.768888687792,2075.2892830611245,9724.210309417324,black,Phase 1: No treatment
1.4003500875218806,118.32250387875047,0.0,59.97056071319177,0.0,27874.595773671324,31044.962305362635,57551.68950070894,8696.568677006475,91420.82537240622,8579.645233316418,7764.646143624797,2420.429147395825,11138.513378030504,black,Phase 1: No treatment
1.6004001000250063,207.24835434454647,0.0,111.14909652186242,0.0,23519.439404872453,30689.170238690764,55850.377214536165,8305.50900727067,98051.29846467731,8665.944031047786,8795.339316390768,2763.5965430424435,12514.002181226786,black,Phase 1: No treatment
1.800450112528132,354.40516178361344,0.0,199.23571619021908,0.0,19843.40679484043,30050.638830624357,54199.35629112326,7932.032272952045,105162.65961867929,8753.111355284784,9752.771006028279,3104.2169943154186,13858.016861076427,black,Phase 1: No treatment
2.000500125031258,592.4258848289894,0.0,346.7596562041922,0.0,16741.34070407503,29199.325817500503,52597.14089054164,7575.348360493798,112789.78616801737,8841.155681430382,10631.376351751856,3441.7637006504874,15177.852945616429,black,Phase 1: No treatment
2.2005501375343837,969.1173395555045,0.0,587.6995051856712,0.0,14123.945224397916,28192.14848379578,51042.288798559086,7234.70252433044,120970.08499672185,8930.085646569789,11428.351681169283,3775.7548712793237,16480.788166168204,black,Phase 1: No treatment
2.4006001500375094,1552.983988842731,0.0,972.133457115082,0.0,11915.63932513596,27075.26387835085,49533.40025257847,6909.3738523539505,129743.67599859138,9019.910023321792,12143.043013484315,4105.7511293552125,17774.109726544346,black,Phase 1: No treatment
2.600650162540635,2440.120833649519,0.0,1572.2606334474706,0.0,10052.550715612606,25885.93231233935,48069.11675260321,6598.673778207685,139153.58884278362,9110.637704862615,12776.448053336011,4431.353015907955,19065.14212753977,black,Phase 1: No treatment
2.8007001750437612,3762.588131526929,0.0,2490.0017785227933,0.0,8480.744614455089,24654.055487350106,46648.119880864804,6301.944648104612,149245.97401050033,9202.277696042327,13330.811190504955,4752.19860490719,20361.27565516606,black,Phase 1: No treatment
3.000750187546887,5698.316345928339,0.0,3866.354055110266,0.0,7154.696404948821,23403.452957706344,45269.13014144945,6018.5583448030375,160070.32913767692,9294.839108011472,13809.295096199316,5067.961232308789,21669.995646146206,black,Phase 1: No treatment
3.2008002000500126,8482.504087738329,0.0,5892.617141438758,0.0,6035.9887410635265,22152.924426048747,43930.90582547506,5747.914968968608,171679.74177372488,9388.331154965099,14215.715535827701,5378.347338030143,22998.912649526486,black,Phase 1: No treatment
3.4008502125531384,12420.367681720996,0.0,8823.525283396093,0.0,5092.20594035682,20917.134936031413,42632.241904479895,5489.441576960629,184131.1497469094,9482.76315221505,14554.328376899193,5683.094417901665,24355.793609015767,black,Phase 1: No treatment
3.600900225056264,17900.98363906279,0.0,12992.213614919627,0.0,4295.998288444232,19707.3527377895,41371.96895316791,5242.5909734806155,197485.62041319613,9578.144515124213,14829.65966232624,5981.969081725827,25748.594196906448,black,Phase 1: No treatment
3.80095023755939,25411.842216323403,0.0,18826.82078409258,0.0,3624.2912537775014,18532.064178957236,40148.95210183126,5006.8405572257725,211808.65015832952,9674.484758617473,15046.371164593778,6274.765213162095,27185.492437256704,black,Phase 1: No treatment
4.001000250062516,35553.61047246676,0.0,26868.39000387829,0.0,3057.6176760721537,17397.48576148718,38962.09001830682,4781.69121755553,227170.48562173173,9771.793497088971,15209.155110251013,6561.302227004846,28674.923763390827,black,Phase 1: No treatment
4.201050262565642,49054.49687627508,0.0,37789.58588746998,0.0,2579.554043590171,16307.990125699871,37810.313919060965,4566.6662801370185,243646.46821773026,9870.080444588873,15322.652823688626,6841.423419419904,30225.617662857472,black,Phase 1: No treatment
4.401100275068767,66783.5263851611,0.0,52413.60499040589,0.0,2176.244750842702,15266.459967519944,36692.586608845064,4361.310499543949,261317.40364454224,9969.355415211869,15391.392921549155,7114.994406783409,31846.63607179068,black,Phase 1: No treatment
4.601150287571893,89761.98426535554,0.0,71732.53516021356,0.0,1836.0006573038377,14274.581624184895,35607.90154827686,4165.189096816333,280269.9581916227,10069.628323634626,15419.745424807978,7381.901648880842,33547.413689946465,black,Phase 1: No treatment
4.801200300075019,119172.27509196177,0.0,96924.32342958868,0.0,1548.9603751827142,13333.088162715174,34555.28194865942,3977.8868400480405,300597.08379086887,10170.909185765786,15411.888773732811,7642.051052380588,35337.80039822483,black,Phase 1: No treatment
5.0012503125781445,156363.47535667196,0.0,129367.45417893522,0.0,1306.8044954611937,12441.960230972805,33533.779893324056,3799.0071661264938,322398.47389486065,10273.208119482715,15371.787244142211,7895.366650643754,37228.10597138984,black,Phase 1: No treatment
