time,S,SR,C,CR,M1,M2,TH1,TH2,TC,Treg,IL10,IFNgamma,IL2,color,phase
0.0,1.0,0.0,0.0,0.0,85000.0,15000.0,71000.0,12000.0,56000.0,8000.0,0.0085,0.12,0.0094,black,Phase 1: No treatment
0.2000500125031258,2.2247567479564707,1.2312017361500571e-07,0.3062162891859085,0.0002909155275704041,75273.90259055793,20697.608389640893,68904.51484754731,11461.219519592212,60061.462357395096,8079.681076302149,936.0470730580234,343.7105600229367,1807.1390374215644,black,Phase 1: No treatment
0.4001000250062516,4.709486118653879,3.891945574444251e-07,1.1323131801495843,0.0020781929443172147,64543.68735041379,24771.826963494183,66867.78283116718,10945.92830075577,64417.53433781035,8160.907860475724,2011.9724519452625,688.2987502246483,3529.016011142066,black,Phase 1: No treatment
0.6001500375093773,9.571535185826885,9.394149210880789e-07,3.054194227559072,0.008221391997126602,54783.41257124293,27599.689479049088,64891.14936254539,10453.762544922816,69089.54002602426,8242.976121468764,3164.681477809889,1034.5483673516037,5173.790937480943,black,Phase 1: No treatment
0.8002000500125032,18.77835937281807,2.0354968592629317e-06,7.148484123894875,0.025305864080017133,46334.58891367545,29455.960262212033,62972.90891128065,9983.709501855938,74100.3924874873,8325.87907401298,4347.19944138475,1381.6441489511574,6749.419223652089,black,Phase 1: No treatment
1.000250062515629,35.69152144277711,4.147883535713557e-06,15.347509908087126,0.06732700181359105,39134.42094419971,30546.645440313976,61111.35609293531,9534.783472060388,79474.66704496556,8409.620460728422,5524.340243730816,1728.8017572275992,8263.681755739839,black,Phase 1: No treatment
1.2003000750187547,65.8931053491044,8.098122315004395e-06,30.998201206602936,0.16198757874785583,33033.46046807756,31033.46530747817,59304.823709942444,9106.038326959782,85238.72150623442,8494.206698041713,6669.927080227019,2075.2892821555724,9724.210308725957,black,Phase 1: No treatment
1.4003500875218806,118.40387981206712,1.5282214371005536e-05,59.71524619920008,0.3608517257579542,27875.99753353695,31046.294731956274,57551.68948634749,8696.568678095653,91420.82537240478,8579.645235218462,7764.846835755118,2420.4291461381094,11138.513377079647,black,Phase 1: No treatment
1.6004001000250063,207.42741244490955,2.8011481405246196e-05,110.6454598362154,0.7553017280610907,23520.637517356034,30690.516173730826,55850.37719865308,8305.509008455596,98051.29846467497,8665.944033237389,8795.58126835547,2763.596541393843,12514.002179991934,black,Phase 1: No treatment
1.800450112528132,354.7773777876631,5.0019172208379314e-05,198.28895034261896,1.5010297406174373,19844.425166711266,30051.976623202176,54199.3562739305,7932.032274213892,105162.6596186757,8753.111357751826,9753.052047635854,3104.2169922439816,13858.016859538835,black,Phase 1: No treatment
