time,S,SR,C,CR,M1,M2,TH1,TH2,TC,Treg,IL10,IFNgamma,IL2,color,phase
0.0,1.0,0.0,0.0,0.0,85000.0,15000.0,71000.0,12000.0,56000.0,8000.0,0.0085,0.12,0.0094,black,Phase 1: Detection
0.2002002002002002,2.2260226088057835,0.0,0.30687948348875066,0.0,75265.1150880183,20701.06328097084,68902.96282744268,11460.82374104772,60064.619609832014,8079.741732745832,936.8095083861231,343.9684430856752,1808.4626832541267,black,Phase 1: Detection
0.4004004004004004,4.714365861687365,0.0,1.136172577403516,0.0,64526.48219192044,24776.408521589226,66864.77028394476,10945.172231675218,64424.3069953182,8161.0304595265825,2013.6441667547826,688.8176024616793,3531.5414262013405,black,Phase 1: Detection
0.6006006006006006,9.585114813916723,0.0,3.067931662518106,0.0,54760.881871747995,27604.039602239176,64886.76404255256,10452.679397748925,69100.43610038608,8243.161900824749,3167.285584915509,1035.3294674372507,5177.414390850208,black,Phase 1: Detection
0.8008008008008008,18.810852210301167,0.0,7.187453139350078,0.0,46309.152440141836,29459.232672097172,62967.23465500286,9982.33023173296,74115.97467587072,8326.129290742254,4350.681718874859,1382.6869520230457,6754.054568574532,black,Phase 1: Detection
1.001001001001001,35.76221294340697,0.0,15.443945132088679,0.0,39107.721481579654,30548.308630824664,61104.472976089724,9533.136911775677,79495.55799101458,8409.936391178864,5528.597442549577,1730.1040803893225,8269.259961543637,black,Phase 1: Detection
1.2012012012012012,66.03656110735024,0.0,31.215408174300055,0.0,33006.60373265315,31033.209389389638,59296.80819773038,9104.151314902972,85265.6095367354,8494.589637936699,6674.826418954416,2076.8474772295585,9730.679090061898,black,Phase 1: Detection
1.4014014014014016,118.67926786874753,0.0,60.17111478137136,0.0,27849.727663372785,31043.97293832005,57542.61457758765,8694.466179179755,91454.47075083136,8580.096499831594,7770.240174493884,2422.2382600119936,11145.836920936361,black,Phase 1: Detection
1.6016016016016017,207.93186937825098,0.0,111.54998982899889,0.0,23495.447778867576,30686.1018689276,55840.312564282525,8303.214228269773,98092.54020641721,8666.464957606087,8801.315496730624,2765.650464623458,12522.160971184287,black,Phase 1: Detection
1.8018018018018018,355.6642913163075,0.0,200.0021241382525,0.0,19820.62988198104,30045.529872529314,54188.36839020484,7929.566766734055,105212.42291653655,8753.703296912388,9758.976589053062,3106.5085966080014,13867.007605810297,black,Phase 1: Detection
2.002002002002002,594.666005601225,0.0,348.16918716003255,0.0,16719.987497327784,29192.281165308133,52585.29314886803,7572.732131005742,112849.09048065086,8841.820013402667,10637.665789031022,3444.2849638131875,15187.688602141554,black,Phase 1: Detection
2.2022022022022023,972.9794232186277,0.0,590.2043042535305,0.0,14104.128638596683,28183.317302831165,51029.641682806825,7231.954121322103,121040.05285714736,8930.82376466878,11434.590377784692,3778.4970013404495,16491.498070569927,black,Phase 1: Detection
2.4024024024024024,1559.4537867690492,0.0,976.4488963703823,0.0,11897.40162816117,27064.822603265875,49520.01140487506,6906.510461714376,129825.54260464781,9020.723344100526,12149.109673825087,4108.704666560384,17785.739829908573,black,Phase 1: Detection
2.6026026026026026,2450.6753636374424,0.0,1579.4884133980495,0.0,10035.88310694905,25874.071793419203,48055.041104746655,6595.711307121629,139248.71249666542,9111.527665915202,12782.235958351148,4434.507934537776,19077.75534133996,black,Phase 1: Detection
2.802802802802803,3779.3868260962586,0.0,2501.796175006284,0.0,8465.602287189995,24640.971426928703,46633.4097642452,6298.89780531064,149355.84748007832,9203.245756279019,13336.228676586963,4755.544405113089,20374.952310025124,black,Phase 1: Detection
3.0030030030030033,5724.443813376038,0.0,3885.140562233013,0.0,7141.010086173816,23389.338940781552,45253.83539283081,6015.440716220675,160196.59201841164,9295.88674793826,13814.265449054987,5071.487024483809,21684.834068534197,black,Phase 1: Detection
3.2032032032032034,8522.270330333582,0.0,5921.872705405491,0.0,6023.673473453896,22137.96698211093,43915.07388878868,5744.739088948133,171824.19393655992,9389.459876967625,14220.1764668987,5382.04192020176,23015.02986163329,black,Phase 1: Detection
3.4034034034034035,12479.669725230517,0.0,8868.128526607923,0.0,5081.167700210752,20901.51017846859,42615.917928774405,5486.218995395857,184295.7659646564,9483.974480846626,14558.231213023679,5686.946346605353,24373.326157755804,black,Phase 1: Detection
3.6036036036036037,17987.729830898785,0.0,13058.871779451927,0.0,4286.13890940688,19691.224217055555,41355.19588685562,5239.332319012398,197672.5662656272,9579.439997397882,14832.96834969903,5985.96673679132,25767.699118773002,black,Phase 1: Detection
3.8038038038038042,25536.437000882663,0.0,18924.577502727167,0.0,3615.5120280698616,18515.581659081257,40131.77078336489,5003.555596751928,212020.2993245387,9675.865964302035,15049.061164375966,6278.89685681886,27206.34836655244,black,Phase 1: Detection
4.004004004004004,35729.49338833812,0.0,27009.214431458488,0.0,3049.8219283174717,17380.784689368247,38944.53926341617,4778.388912251413,227409.4386773309,9773.262019008971,15211.21224424924,6565.556057689201,28697.73219222053,black,Phase 1: Detection
4.2042042042042045,49298.72505678771,0.0,37989.039286200605,0.0,2572.6489116206258,16291.191610988333,37792.430604674046,4563.354838180203,243915.5730642462,9871.637898928542,15324.072113553471,6845.787620643636,30250.604362189908,black,Phase 1: Detection
4.404404404404405,67117.38527122927,0.0,52691.57573735314,0.0,2170.1423589637916,15249.671130301547,36674.40575381386,4357.997425726006,261619.77770885933,9971.003441823026,15392.177453029119,7119.457191401957,31874.052683871414,black,Phase 1: Detection
4.604604604604605,90211.6068754272,0.0,72114.02760553536,0.0,1830.6188289438942,14257.896198912264,35589.4563910237,4161.881239215129,280609.01254483976,10071.368586348588,15419.905259382364,7386.451299079214,33577.539503399574,black,Phase 1: Detection
4.804804804804805,119769.24640384273,0.0,97440.2804200679,0.0,1544.2230003622244,13316.58727236862,34536.604021855615,3974.590433924478,300976.5493481894,10172.743372709276,15411.439922638132,7646.675955675628,35370.94431829763,black,Phase 1: Detection
5.005005005005005,157145.39545897895,0.0,130055.58776402484,0.0,1302.6416437277649,12425.71326548018,33514.899095708606,3795.7278752009556,322822.4298715166,10275.137943397853,15370.75071425704,7900.055332183434,37264.608699000506,black,Phase 1: Detection
5.205205205205205,203863.91199845707,0.0,171558.02619100324,0.0,1098.8623368536155,11584.65715014957,32523.420150220416,3624.914297075473,346253.9572315904,10378.56254400516,15301.577612082743,8146.5305075245,39269.38372545888,black,Phase 1: Detection
5.405405405405406,261614.44382291235,0.0,223765.83984737148,0.0,926.9699283034232,10792.352028211462,31561.272980846028,3461.787498626692,371386.22296333866,10483.02752408464,15207.42374864118,8386.058286692556,41396.68015804721,black,Phase 1: Detection
5.605605605605606,332244.5725142136,0.0,288719.8841037884,0.0,781.9748454428553,10047.392573606445,30627.58983490965,3306.0015764205727,398342.6723291973,10588.54333806238,15091.553071069557,8618.610084636759,43658.52157618149,black,Phase 1: Detection
5.805805805805806,417746.89013383,0.0,368680.51409209037,0.0,659.6682659287362,9348.125950612195,29721.528629428158,3157.2261914209093,427255.710660504,10695.120546185324,14956.992052528023,8844.17087258071,46067.60073329733,black,Phase 1: Detection
6.0060060060060065,520241.0225763043,0.0,466118.4429729928,0.0,556.4999501277424,8692.725652521784,28842.272192018987,3015.1458688339208,458267.35370915657,10802.769815502286,14806.534504714222,9062.738183623751,48637.33939327794,black,Phase 1: Detection
6.206206206206207,641950.8209146638,0.0,583699.3069560068,0.0,469.4751891652893,8079.251148230809,27989.02752422066,2879.4593294158944,491529.9252040949,10911.501920873614,14642.748715776475,9274.32117461913,51381.951931146315,black,Phase 1: Detection
6.406406406406407,785177.1435324234,0.0,724261.9082946569,0.0,396.0678777061288,7505.695756056167,27161.025086571128,2749.878850836466,527206.8050386594,11021.327746006331,14467.986283165474,9478.939741464828,54316.512999875034,black,Phase 1: Detection
6.606606606606607,952266.8360222245,0.0,890790.3508690583,0.0,334.14718846147434,6970.024770450335,26357.518104806004,2626.12965775152,565473.2317631143,11132.258284512334,14284.392131591874,9676.623685079081,57457.02958565274,black,Phase 1: Detection
