time,S,SR,C,CR,M1,M2,TH1,TH2,TC,Treg,IL10,IFNgamma,IL2
0.0,1.0,0.0,0.0,0.0,85000.0,15000.0,71000.0,12000.0,56000.0,8000.0,0.0085,0.12,0.0094
0.8008008008008008,1.0873512092540614,4.440804947585577e-08,0.10084533707948444,0.00012282377271638378,37585.50421496457,14415.756298706354,27654.250506212175,3017.8717597244813,1121.8394927678444,3593.023004175514,1.8770156206462043e-07,0.0014614822751502124,4.678584816066711e-05
1.6016016016016017,1.1827253348165012,9.660664516638806e-08,0.7189639186061635,0.004104187728498829,16606.97103525233,13849.953035490978,7937.723906618453,760.0415201660273,18.390303114676435,1613.7045683376052,5.075226287127683e-08,0.00018307888280373047,1.1321344947523547e-05
2.4024024024024024,1.286472437575638,1.5762146358174714e-07,3.8028478940033694,0.07304047924459113,7337.584277703927,13306.356318400785,1904.6886054689244,190.24554666075014,0.2743702526200076,724.7401025841052,1.4419960356926404e-08,4.428211511927706e-05,2.787669982703043e-06
3.2032032032032034,1.3993215289995768,2.2859745762957948e-07,16.82146192675981,0.9194368944869201,3242.011048346872,12784.095754698306,415.74141565818513,47.247670144368094,0.00398723965748994,325.48801902314733,4.358839803625312e-09,9.88509593234903e-06,6.167956021626127e-07
4.004004004004004,1.5220700930358861,3.108126723493774e-07,64.2078481281182,8.865865478683846,1432.4373746321144,12282.33624321967,86.82488800647748,11.64010227924529,5.762388813219641e-05,146.17812563149735,1.426487467539983e-09,2.087614053070635e-06,1.296260335129724e-07
4.804804804804805,1.655586257774932,4.0569274567923687e-07,215.12567899303374,68.07392313222003,632.9028542597005,11800.280996803458,17.77821152479912,2.845314576864321,8.352796305444209e-07,65.6484805398375,5.087154939788353e-10,4.296342851092112e-07,2.6616965407235258e-08
5.605605605605606,1.800814496414246,5.148269629822187e-07,641.114386935452,427.309357957864,279.64015587083253,11337.184566300142,3.6085610861833244,0.6902744979300436,1.2173424741325317e-08,29.482347387519972,1.9613483762238126e-10,8.740342338155955e-08,5.409372736839013e-09
6.406406406406407,1.958782179323517,6.399859871512447e-07,1719.137488128499,2239.712413098099,123.55660214348305,10892.401812120355,0.7296274321070946,0.16624833689461424,1.7916573030307088e-10,13.240204891270876,8.038818692483496e-11,1.76901549959975e-08,1.094344300496754e-09
7.207207207207207,2.1306068090267956,7.83141445676032e-07,4190.576426407084,9982.2738105321,54.59420759823099,10465.5522838127,0.1472741208351615,0.039761410283316846,1.5122842360050416e-12,5.945971262070814,3.444357170675363e-11,3.5723161112959403e-09,2.2094559779401313e-10
8.008008008008009,2.3175039180081196,9.46487561482896e-07,9372.05893697727,38444.57124904572,24.1254462191304,10057.007674148088,0.02970464600564365,0.009446275357757902,-2.5129977115734424e-12,2.670216973835026,1.5271928203571072e-11,7.206645001477802e-10,4.4568721605800216e-11
8.80880880880881,2.5207956659730026,1.1324650333818156e-06,19391.52019877786,129792.24719610291,10.664851664082223,9669.155994004024,0.005989346442525692,0.002229915181370916,-3.711310226654439e-12,1.1991297164072123,7.007707001194027e-12,1.453201641733214e-10,8.986817961527501e-12
9.60960960960961,2.741920192771958,1.3437873935922152e-06,37399.9019520155,389112.90621335595,4.7191461822061616,9309.270255905361,0.0012074741374468948,0.0005232544051805074,2.4600081508284624e-11,0.5384953569316464,3.3723103016123386e-12,2.929819997234656e-11,1.811813532877895e-12
10.41041041041041,2.9824417920997246,1.5834700929405794e-06,67695.63680687793,1048001.0498723396,2.093545502171554,8995.275010670448,0.00024342860590462654,0.00012212119187478355,7.06754582175592e-10,0.24182127761726357,1.7522307241928187e-12,5.9066618643053246e-12,3.65267735638951e-13
11.211211211211213,3.2440619777016737,1.854862589373658e-06,115703.63403795229,2562446.4555765702,0.934367723069788,8766.352339281088,4.907405480835546e-05,2.8375866936045828e-05,3.300632691519792e-05,0.1085935831064212,1.024789996798255e-12,1.2031890435543937e-12,7.363654934443332e-14
12.012012012012013,3.5286199370085813,2.1616175615895775e-06,187773.05748947474,5741878.194551868,0.4224760944442979,8702.11370893657,9.892126772438238e-06,6.576652493317754e-06,391646.16341145517,0.04876539292878173,7.006697494296068e-13,0.0002246311577105355,1.4843350640705714e-14
12.812812812812814,3.837716913555426,2.505670444273817e-06,290681.8203128092,11889459.138170334,0.19604367816359525,8960.843408414483,1.9940021052670998e-06,1.52619811370713e-06,1847217.5846116105,0.021898790377967957,5.688829020208725e-13,0.002567450372354982,2.992045779863827e-15
13.613613613613614,4.17324332936974,2.8898490614267977e-06,431095.2524620066,22923025.322238006,0.09543246868773546,9872.456031041764,4.019521715696867e-07,3.572900883266716e-07,3723418.5694990223,0.009834094983554847,5.478115193613126e-13,0.005353314408890975,6.031386443665272e-16
14.414414414414415,4.536987465119435,3.3156038169867755e-06,614817.3298718967,41430930.69980328,0.050450008180462566,12216.328561432012,8.10474255259399e-08,8.572833391285589e-08,6886199.356207802,0.004416375135718549,6.262069129717446e-13,0.010036743511710992,1.216135788783047e-16
15.215215215215217,4.930456563807449,3.7822028354841744e-06,845852.4096114718,70616573.01303986,0.03047735582818431,18216.139830172106,1.6342794009415443e-08,2.1883691852160044e-08,11925321.261146726,0.001983527445344817,1.6217417449742365e-12,0.01758046855498322,2.452275068170556e-17
16.016016016016017,5.354748724209493,4.286404138860322e-06,1125463.3486374917,114101239.94944717,0.022571021524835377,35883.50518564731,3.2946551531189027e-09,6.621679571199868e-09,19510238.413136847,0.000891086808854903,9.099749317101972e-13,0.029054193865474767,4.943708476111835e-18
16.816816816816818,5.810367632460454,4.822534831160271e-06,1451247.0973325123,175574615.16935205,0.02244286581212675,102340.06477144526,6.641306163495711e-10,3.5674973643358663e-09,30339734.261221197,0.00040066111087534327,2.9742506890519695e-12,0.04559714597571308,9.965438019998551e-19
17.61761761761762,6.297056809888304,5.383365329017503e-06,1816407.9262761425,258316460.8912544,0.033467919800574265,407380.5431783272,1.33876166052171e-10,2.348034055576631e-08,45056824.27524412,0.00018082657473704044,1.1893552566128168e-11,0.0682879480610033,2.0088436956122552e-19
18.41841841841842,6.813699701829054,5.9615354646375485e-06,2209475.098850259,364651382.5356971,0.0849507855393327,1514081.3130802426,2.698604060717585e-11,0.005460716133165277,64147688.90450842,8.289249420873351e-05,7.153513426578959e-11,0.0979833910629358,4.0493190551961966e-20
19.21921921921922,7.358328554590437,6.550918295980026e-06,2614745.119663667,495435637.27388275,0.42031383184351806,3877115.296845432,5.43968573521382e-12,1499292.8144097575,87841964.30072029,3.960214791540897e-05,6.495891500724902e-05,0.13515302561168077,8.16237087046022e-21
